query_id,difficulty,domain,query,expected_pdf
H14,hard,paper,Which OCR-free document model pairs a Swin Transformer image encoder with a BART-style text decoder and introduces a synthetic document generator?,paper_donut.pdf
H15,hard,paper,Which benchmark follows a first version where leading systems exceeded 90 percent nDCG@5 and adds blind contextual long and cross-document queries across four multilingual datasets?,paper_vidore_v2.pdf
H16,hard,paper,Which routing method learns from human preference data to select between a strong and a weak language model and studies transfer when the model pair changes?,paper_routellm.pdf
H17,hard,paper,Which long-context inference method assigns A-shape Vertical-Slash or Block-Sparse patterns to attention heads and dynamically builds sparse indices during prefilling?,paper_minference.pdf
H18,hard,financial_report,Which annual filing reports approximately 130.5 billion dollars of fiscal-year revenue and describes the transition from Hopper to Blackwell systems under export-control risks?,finance_nvidia_2025.pdf
H19,hard,financial_report,Which filing organizes its business around Family of Apps and Reality Labs and analyzes advertising revenue using ad impressions and average price per ad?,finance_meta_2024.pdf
H20,hard,financial_report,Which annual report divides operations into Productivity and Business Processes Intelligent Cloud and More Personal Computing?,finance_microsoft_2024.pdf
H21,hard,public_report,哪份中文报告同时指出前沿模型训练计算量持续增长、模型推理成本快速下降，并比较各国人工智能立法和私人投资？,report_ai_index_2025_zh.pdf
H22,hard,public_report,Which annual health report reviews more than 50 indicators from the SDGs and WHO programme of work and highlights COVID-19's effect on life expectancy and healthy life expectancy?,report_who_health_2024.pdf
H23,hard,public_report,Which report projects global growth of about 2.3 percent in 2025 and describes it as the weakest pace since 2008 outside global recessions?,report_world_bank_gep_2025.pdf
H24,hard,technical_manual,Which carrier board exposes a single-lane PCIe Gen 2 socket two full-size HDMI connectors Gigabit Ethernet with PoE support and dual camera and display connectors for a compute module?,manual_raspberry_pi_cm4_io.pdf
H25,hard,technical_manual,Which integrated AI system combines eight H100 GPUs 640 GB of total GPU memory fourth-generation NVSwitch fabric and ConnectX-7 networking?,manual_nvidia_dgx_h100.pdf
H26,hard,technical_manual,Which 5 V board uses a 48 MHz Renesas RA4M1 Cortex-M4 with 256 KB flash and 32 KB SRAM and adds a DAC CAN bus and USB HID support?,manual_arduino_uno_r4_minima.pdf
H27,hard,technical_manual,Which ultra-low-power MCU family combines up to 256 KB FRAM a Low-Energy Accelerator AES and a 12-bit ADC?,manual_ti_msp430fr5994.pdf
H28,hard,technical_manual,Which SoC combines dual Xtensa LX7 cores 2.4 GHz Wi-Fi Bluetooth LE 5 vector instructions and native USB OTG and USB Serial JTAG?,manual_esp32_s3.pdf
H29,hard,technical_manual,Which camera module uses the 12-megapixel Sony IMX708 sensor with phase-detection autofocus HDR and standard or wide field-of-view variants?,manual_raspberry_pi_camera_3.pdf
H30,hard,technical_manual,Which wireless MCU combines an Arm Cortex-M4F a programmable sensor controller concurrent Sub-1 GHz and 2.4 GHz support and an integrated power amplifier up to plus 20 dBm?,manual_ti_cc1352p.pdf
